project_id,project_track_number,project_name,project_code,project_description,project_start_date,project_end_date,fk_funder_id,project_cost,fk_funding_status_id,project_is_default,project_created_by,project_last_modified_by,project_created_date,project_last_modified_date,fk_approval_id,fk_status_id
22,PRCT-19153,IFP165 - Shelter for 23 beneficiaries of Arusha and Karatu,IFP165,"This proposal intends to improve shelter for 23 beneficiaries from TZ0600, TZ0612 and TZ0850 who currently live in poor houses that pose a number of challenges for them and their family members.",2020-12-15,2021-10-31,2,"0.00",2,"0",23,23,2021-01-15,"0000-00-00 00:00:00",364,296
23,PRCT-61770,Improved and Adequate shelter for 14 Beneficiaries.,166,"The intervention aims at providing an improved and adequate shelter for 14 beneficiaries from Arusha, Kondoa and Dodoma Clusters under TZ0110, TZ0663, TZ0951, TZ0223, TZ0128, TZ0954, TZ0754, TZ0815, TZ0600 and TZ0303.",2021-03-01,2024-12-20,2,"64.00",2,"0",30,30,2021-01-29,"0000-00-00 00:00:00",8816,296
24,PRCT-82601,WTP-169 Rain Harvesting and Storage Facilities - Marsabit cluster,WTP-169,"	
CKE seeks funding to increase rain harvesting and storage capacity for 8 projects in Marsabit cluster through, installation of polyethylene (poly) plastic water tanks, guttering and distribution system.
",2020-08-03,2021-02-28,1,"7335120.00",1,"0",40,40,2021-02-03,"0000-00-00 00:00:00",354,295
25,PRCT-11224,DRF-109 Financial Support to FCP Church Leaders during Covid19,DRF-109,"This intervention seeks to offer one-time support to vulnerable FCP church leaders with funds to cater to their basic household needs such as food, rent, and medicine during this perilous time brought about by the pandemic",2020-12-06,2021-05-31,1,"0.00",1,"0",39,39,2021-02-09,"0000-00-00 00:00:00",18021,295
26,PRCT-15497,PED-109 Parental Education on Dangers of FGM,PED-109,To provide parental education against the cultural practice of FGM to caregivers in 40 FCPs. The objective is to equip them with knowledge on dangers of the practice and hence facilitate abandonment of the practice.,2020-07-01,2021-12-31,1,"2.00",1,"0",39,39,2021-02-09,"0000-00-00 00:00:00",354,295
27,PRCT-64672,MIV-108 CKE FY 19 Malaria Prevention Proposal,MIV-108,The intervention seeks to facilitate the top 50 students of 2017 KCPE to successfully complete secondary school and excel in their performance through provision of school fees for 4 years,2019-03-01,2022-05-31,1,"9.00",1,"0",39,39,2021-02-09,"0000-00-00 00:00:00",354,295
28,PRCT-69068,P101- AIDS Medical (HIV-MED),P101,AIDS Medical (HIV-MED) Project,2021-01-01,"0000-00-00",2,"20000000.00",2,"0",23,23,2021-02-16,"0000-00-00 00:00:00",364,296
29,PRCT-65356,P105 - Highly Vulnerable Children-Ongoing Support (HVC-CDI),P105,P105 - Highly Vulnerable Children-Ongoing Support (HVC-CDI),2021-01-01,"0000-00-00",2,"0.00",2,"0",23,23,2021-02-16,"0000-00-00 00:00:00",364,296
30,PRCT-41420,P100 - Support Funds Project,P100,P100 - Support Funds Project,2021-03-01,"0000-00-00",5,"0.00",3,1,66,66,2021-03-09,"0000-00-00 00:00:00",21202,783
31,PRCT-5430,"P300 - Beneficiary, Family, Projects, and Christmas Gifts Project",P300,"P3
P300 - Beneficiary, Family, Projects, and Christmas Gifts Project",2021-03-01,"0000-00-00",5,"0.00",3,"0",66,66,2021-03-09,"0000-00-00 00:00:00",21202,783
32,PRCT-35736,P200 - Survival Grants Project,P200,P200 - Survival Grants Project,2021-03-01,"0000-00-00",5,"0.00",3,"0",66,66,2021-03-09,"0000-00-00 00:00:00",21202,783
33,PRCT-53405,P4001 – Disaster Relief Ongoing,P4001,P4001 – Disaster Relief Ongoing,2021-03-01,"0000-00-00",5,"0.00",3,"0",66,66,2021-03-09,"0000-00-00 00:00:00",21202,783
34,PRCT-67495,P4003 - Education-Ongoing,P4003,P4003 - Education-Ongoing,2021-03-01,"0000-00-00",5,"0.00",3,"0",66,66,2021-03-09,"0000-00-00 00:00:00",21202,783
35,PRCT-36903,P4005-HIV AIDS-Ongoing Re-reimbursable,P4005,P4005 - HIV AIDS – Ongoing (Re-reimbursable),2021-03-01,"0000-00-00",5,"0.00",3,"0",66,66,2021-03-09,"0000-00-00 00:00:00",21202,783
36,PRCT-21619,P4007 - HVC-CPR-CDI (Highly Vulnerable Children- (Re-reimbursable),P4007,P4007 - HVC-CPR-CDI (Highly Vulnerable Children- (Re-reimbursable),2021-03-01,"0000-00-00",5,"0.00",3,"0",66,66,2021-03-09,"0000-00-00 00:00:00",21202,783
37,PRCT-4578,P4009 - Medical- Ongoing (Reimbursable),P4009,P4009 -Medical- Ongoing (Re-reimbursable) ,2021-03-01,"0000-00-00",5,"0.00",3,"0",66,66,2021-03-09,"0000-00-00 00:00:00",21202,783
38,PRCT-40644,P500 Non-Compassion Funds ,P500,P500 Non-Compassion Funds ,2021-03-01,"0000-00-00",5,"0.00",3,"0",66,66,2021-03-11,"0000-00-00 00:00:00",21202,783
39,PRCT-74944,P400 Funds from other Agents,P400,P400 Funds from other Agents,2021-03-01,"0000-00-00",5,"0.00",3,"0",66,66,2021-03-11,"0000-00-00 00:00:00",21202,783
40,PRCT-86639,P600 - FCP Generated Income,P600,P600- FCP Generated Income,2021-03-01,"0000-00-00",5,"0.00",3,"0",66,66,2021-03-11,"0000-00-00 00:00:00",21202,783
41,PRCT-69899,P4020 – Covid19 Funds – CIV funded income,P4020,P4020- Covid19 Funds – CIV funded income,2021-03-01,2024-05-01,5,"0.00",3,"0",66,66,2021-03-26,"0000-00-00 00:00:00",21202,783
42,PRCT-61657,DRF 111-Household livelihood recovery for 289 caregivers in Rakai,DRF111,"DRF 111-Household livelihood recovery for 289 caregivers in Rakai
",2020-10-01,2021-10-01,5,"0.00",3,"0",69,69,2021-03-29,"0000-00-00 00:00:00",21202,783
46,PRCT-75905,P4011 - Income Generation/ Micro-Enterprise (IGP),P4011,P4011 - Income Generation/ Micro-Enterprise (IGP),2021-03-01,"0000-00-00",5,"0.00",3,"0",69,69,2021-03-31,"0000-00-00 00:00:00",21202,783
51,PRCT-19208,P4014 - Parent Education (PED).,P4014,P4014 - Parent Education (PED). Individual,2021-03-01,"0000-00-00",5,"0.00",3,"0",69,69,2021-03-31,"0000-00-00 00:00:00",21202,783
52,PRCT-82919,"P4015- Water, Sanitation and Hygiene Projects (WTP).",P4015,"4015- Water, Sanitation and Hygiene Projects (WTP).",2021-03-01,"0000-00-00",5,"0.00",3,"0",69,69,2021-03-31,"0000-00-00 00:00:00",21202,783
56,PRCT-81647,IGP-169 - IGA For 50 Caregivers At TZ0612 and TZ0402,IGP-169,This intervention will support 50 caregivers with start up capital for pig keeping and green house farming of vegetables for business. The business will reduce effects of income poverty among these caregivers and the children will have a better life.,2021-02-01,2022-01-31,2,"42150000.00",2,"0",1,1,2021-08-24,2021-08-24 12:48:12,364,293
57,PRCT-10565,IGA for 55 Caregivers at TZ0161 and TZ0812,170,This intervention will support 55 caregivers from two FCPs TZ0161 and TZ0812 start and improve existing businesses to improve their quality of lives of their families,2020-12-01,2022-01-31,2,"30356540.00",2,"0",30,30,2021-08-26,2021-08-26 10:48:30,364,296
58,PRCT-14366,Caregiver/beneficiary education on FGM in 33 FCPs,FGM-002,"This intervention aims at training caregivers, beneficiaries and child development workers in 33 FCPs on the effects of FGM and unprofessional male circumcision. It will also involve parenting education to about 1200 caregivers,",2020-09-26,2022-09-30,2,"85390000.00",2,"0",31,31,2021-08-27,2021-08-27 11:37:50,364,296
59,PRCT-15532,"R104 - Highly Vulnerable Children- Child Protection (HVC-CPR)
",104,Highly Vulnerable Children- Child Protection (HVC-CPR),2021-07-31,2023-09-30,2,"2220000.00",2,"0",31,31,2021-09-09,2021-09-09 10:17:13,364,296
60,PRCT-25655,FPCT TURIANI STUDENTS CENTRE,TZ0840,FPCT TURIANI STUDENTS CENTRE,2021-07-01,2044-12-31,2,"20000000.00",2,"0",27,27,2021-09-09,2021-09-09 13:29:04,364,296
61,PRCT-53749,IGP231- Borehole Drilling for 5 FCPs of Biharamulo Cluster.,WTP -231,"Borehole Drilling for 5 FCPs of Biharamulo Cluster atTZ0371, TZ0872, TZ0985,TZ1803 and TZ1804. ",2021-01-01,2022-04-30,2,"32763500.00",2,"0",100,100,2021-09-09,2021-09-09 19:15:04,364,296
62,PRCT-46511,"P106 - Medical Reimbursable 
",P106,"P106 - Medical Reimbursable Project

",2021-08-01,"0000-00-00",2,"0.00",2,"0",100,100,2021-09-10,2021-09-10 06:25:32,364,296
63,PRCT-75809,IGP165-For Caregivers Living with HIV in Iringa & Ilula Cluster,IGP165,Income Generating  Caregivers Living with HIV in Iringa & Ilula Cluster,2021-08-01,2022-11-30,2,"3935000.00",2,"0",27,27,2021-09-10,2021-09-10 07:54:36,364,296
64,PRCT-17505,IGA 168-Youth Economic Enhancement for Manyoni Cluster,IGA 168,IGA 168-Youth Economic Enhancement for Manyoni Cluster,2021-08-01,2022-12-31,2,"19155000.00",2,"0",27,27,2021-09-10,2021-09-10 09:56:31,364,296
65,PRCT-38775,Sponsorship Launch,R97,Sponsorship Launch Fund,2021-07-01,2025-03-31,2,"0.00",2,"0",27,27,2021-09-10,2021-09-10 10:48:28,364,296
66,PRCT-79146,CIV-L4L JETHRO - 162,CIV,L4L Pilot Jethro Leadership Principle In Lake Victoria Base & TZ0819 - FPCT MAJENGO ARUSHA ,2021-07-01,2024-11-30,2,"0.00",2,"0",31,31,2021-09-10,2021-09-10 11:46:18,364,296
67,PRCT-71936,"Classrooms at 6 FCPs of Manyara, Arusha, Lindi and Mtwara",169,Classrooms construction,2021-08-01,2022-05-31,2,"0.00",2,"0",30,30,2021-09-10,2021-09-10 12:06:34,364,296
69,PRCT-46143,IGP 164-Improved Shelters for 27 HVC Families in Tarime Cluster,IGP 164,Improved Shelters for 27 HVC Families in Tarime Cluster,2020-08-15,2021-05-25,2,"99650000.00",2,"0",29,29,2021-10-06,2021-10-06 14:04:24,364,296
70,PRCT-54710,IGP164 - Improved Shelter for 27 HVC Families in Tarime Cluster,IGP 164, Improved Shelter for 27 HVC Families in Tarime Cluster,2020-08-15,2021-05-28,2,"99650000.00",2,"0",29,29,2021-10-06,2021-10-06 14:15:27,364,296
71,PRCT-57519,Provision of Learning material at TZ0601,103,"This intervention intends to improve learning environment for beneficiaries at TZ0601 by providing books, desks and desktop computers for a computer class.",2020-08-20,2021-12-31,2,"0.00",2,"0",30,30,2021-10-07,2021-10-07 06:16:18,364,296
72,PRCT-59092,DRF103 - Refugee Assistance Phase 1,DRF103,Refugee Assistance Phase 1,2018-10-01,2021-10-31,5,"0.00",3,"0",69,69,2021-10-09,2021-10-09 12:18:33,21202,783
73,PRCT-43544,DRF116 - Refugee Assistance Phase 2,DRF116,Refugee Assistance Phase 2,2021-06-01,2024-12-31,5,"0.00",3,"0",69,69,2021-10-09,2021-10-09 12:24:07,21202,783
74,PRCT-71403,DRF117 - Refugee Assistance Phase 3,DRF117,Refugee Assistance Phase 3,2021-11-01,2023-06-30,5,"0.00",3,"0",69,69,2021-10-09,2021-10-09 13:05:24,21202,783
75,PRCT-30187, CIV ANIMAL HUSBANDRY,R101,Goat rearing,2020-12-09,2021-12-09,5,"3270000.00",3,"0",74,74,2021-10-10,2021-10-10 13:29:46,21202,783
77,PRCT-10960,Economic empowerment to 309 caregivers at olmotonyi,158,This intervention aims to empower 309 caregivers at olmotonyi cluster with capital and business skills to improve their small businesses and finally increase their income.,2020-10-01,2021-11-30,2,"0.00",2,"0",30,30,2021-10-10,2021-10-10 15:55:38,364,296
78,PRCT-8419,EDU126 - CHS Funded – 2020 Support for 106 PLE&UCE Excelling students,EDU126,The goal of this intervention is to enhance the cognitive development of 106 registered students by ensuring their uninterrupted school attendance.,2020-07-15,2025-12-31,5,"398557275.00",3,"0",588,588,2021-10-11,2021-10-11 09:06:24,21202,783
79,PRCT-88817,IFP151 - Vocational Skills for registered beneficiaries at TZ137,IFP 151,This intervention focuses to equip registered beneficiaries at TZ0137 with Vocational and Technical skills. This will involve construction of vocational classes purchase of equipment as well as training Youth on multiple vocational and Technical skills.,2021-01-01,2022-12-31,2,"0.00",2,"0",24,24,2021-10-11,2021-10-11 19:44:36,364,296
80,PRCT-45790,IFP 135 - Standard Kitchen with a Store Room Construction for Mennonite (TZ0706),IFP 135,The overall objective of this activity is construction of modern and standard food preparation premises (kitchen) with store room at TZ 706 in order to ensure registered children has access to clean and safe food,2021-06-01,2023-06-30,2,"0.00",2,1,24,24,2021-10-11,2021-10-11 19:51:55,364,296
81,PRCT-61034,EDU124-University education support for 50 students,EDU124,The purpose of this intervention is to provide an opportunity for 50 students to pursue University education.,2019-11-15,2024-08-31,5,"810478430.00",3,"0",588,588,2021-10-12,2021-10-12 19:15:28,21202,783
82,PRCT-85092,IGA 157-Income Generation Household Katoro and Geita Clusters,IGA -157,Income Generation Household Katoro and Geita Clusters,2020-03-01,2021-12-31,2,"92310000.00",2,"0",100,100,2021-10-13,2021-10-13 09:53:34,364,296
83,PRCT-80001,IGA 148 IGA For Survival Caregivers At Kigoma and Shinyanga clusters,IGA -148 ,"	
The intervention aims at alleviating excessive poverty by increase household income of 60 survival caregivers who will be trained on tailoring skill and be given tailoring machines.",2020-01-01,2022-12-31,2,"0.00",2,"0",24,24,2021-10-13,2021-10-13 11:12:09,364,296
84,PRCT-8838,CIV 155 Improve Learning Environment at TZ 0345,Infra -155,The intervetion focuses on improving learning environment at TZ 0345 through varnishing of four classrooms and construct one more class to enable smooth curriculum delivery according the children and youth age categories.,2019-08-20,2020-02-29,2,"25024000.00",2,"0",100,100,2021-10-13,2021-10-13 12:49:15,364,296
85,PRCT-45952,IGP166-Promoting IGA Caregivers through Beekeeping ,IGP 166,IGP166-Promoting IGA Caregivers through Beekeeping,2020-08-31,2021-12-31,2,"8000000.00",2,"0",27,27,2021-10-13,2021-10-13 12:59:38,364,296
86,PRCT-51657,IFP230 - Satellite Installation ,IFP230,Satellite Installation ,2018-11-30,2019-05-26,5,"0.00",3,"0",69,69,2021-10-14,2021-10-14 07:28:52,21202,783
87,PRCT-85684,P000 – Withholding Tax/ PAYE/ Local service tax Project,P000,Withholding Tax/ PAYE/ Local service tax Project,2021-09-01,"0000-00-00",5,"0.00",3,"0",69,69,2021-10-14,2021-10-14 11:35:20,21202,783
88,PRCT-21067,156 IGP Honey production for households,IGP156 ,Honey production,2020-02-29,2021-10-31,5,"1104000.00",3,"0",74,74,2021-10-14,2021-10-14 13:09:34,21202,783
89,PRCT-69013,IFP184 Farming input for income generation,IFP184,Farming input for income generation,2021-05-01,2022-04-23,5,"6497000.00",3,"0",74,74,2021-10-14,2021-10-14 13:15:28,21202,783
90,PRCT-54555,MM141 - Kidney transplant for Richard Mutesasira– Phase 1,MM141,The objective of this activity is to facilitate Richard’s hemodialysis sessions for 6 months and support the potential donor undergo clinical investigations at Agha Khan Hospital by February 2022.,2021-05-15,2022-02-28,5,"0.00",3,"0",69,69,2021-10-14,2021-10-14 13:32:18,21202,783
91,PRCT-18935,HH002 - House Hold Food Security,HH002,Food Relief for Registered Beneficiaries affected by Famine,2017-05-01,2021-11-30,5,"1616000.00",3,"0",67,67,2021-10-14,2021-10-14 13:52:26,21202,783
92,PRCT-86653,WTP - TZ0353 Rainwater harvest ,TZ0353,WTP - TZ0353 Rainwater harvest ,2020-01-01,"0000-00-00",2,"0.00",2,"0",24,24,2021-10-14,2021-10-14 14:03:09,364,296
93,PRCT-84059,EDU131 - Devices for accessing online learning for 178 Students,EDU131,"This is an intervention to enable University and post secondary students to access online studies and to meet their course requirements, that they may achieve their cognitive development outcomes.",2021-09-01,2022-06-30,5,"0.00",3,"0",69,69,2021-10-14,2021-10-14 14:09:58,21202,783
94,PRCT-66075,IGP-181- CIV Animal Husbandry,IGP181,IGP-181- CIV Animal Husbandry,2021-09-01,2023-11-30,5,"0.00",3,"0",69,69,2021-10-14,2021-10-14 14:19:52,21202,783
95,PRCT-15949,IFP207 - Solar installation for 4 ICPs in Eastern Region,IFP207,The purpose of this intervention is to install solar power at the 4 CDCs in order to improve on Child development programming and impact 1205 children,2018-02-28,2018-09-22,5,"0.00",3,"0",69,69,2021-10-14,2021-10-14 17:48:37,21202,783
96,PRCT-1031,IFP210 - Satellite Internet for 5 ICPs in Eastern Region,IFP210,The purpose of this intervention is to improve efficiency in communication and reduce costs incurred during internet access,2018-03-30,2018-09-05,5,"0.00",3,"0",69,69,2021-10-14,2021-10-14 18:09:37,21202,783
97,PRCT-15135,HH004 - Dental health outreach program for 3 clusters – Tororo/ Buta,HH004,"This intervention will benefit 10,000 Children and 9,000 caregivers in the targeted 3 clusters of Tororo/ Butaleja, Bugiri, Sebei.",2018-02-28,2019-03-31,5,"0.00",3,"0",69,69,2021-10-14,2021-10-14 18:33:11,21202,783
98,PRCT-61394,NFE180 - Skills Development Center for UG302,NFE180,The purpose of this intervention is to equip the youth with self -sustaining skills,2019-03-01,2019-12-31,5,"0.00",3,"0",69,69,2021-10-14,2021-10-14 18:44:02,21202,783
99,PRCT-41676,PED114 - Holistic Parental Education,PED114,"Holistic Parental Education
",2020-11-11,2021-08-31,5,"0.00",3,"0",69,69,2021-10-15,2021-10-15 09:15:23,21202,783
100,PRCT-28049,IGP153 - Poultry and hatchery IGA for Bujaga CDC UG0241,IGP153,The purpose of this activity is to improve the economic wellbeing of beneficiary households at UG0241 through poultry and hatchery.,2018-05-15,2019-06-30,5,"0.00",3,"0",69,69,2021-10-15,2021-10-15 09:46:26,21202,783
101,PRCT-46003,HH001 - Teen pregnancy prevention Interventions in 4 clusters of Mba,HH001,The main objective of this activity is to contribute towards prevention of teenage pregnancies by engaging different stakeholders in the community to come up with community-led interventions.,2017-05-10,2019-06-15,5,"0.00",3,"0",69,69,2021-10-15,2021-10-15 10:56:54,21202,783
102,PRCT-77934,P4018-Sponsorship Launch Funds,P4018,P4018-Sponsorship Launch Funds,2017-03-31,2030-06-30,5,"0.00",3,"0",69,69,2021-10-15,2021-10-15 11:01:22,21202,783
103,PRCT-18605,"WTP153 - WATER, SANITATION AND HYGIENE IMPROVEMENT FOR 10 ICPS Allocation For UG0638-Ndago CDC Center",WTP153,The purpose of this intervention is to mitigate Open Defecation at ICPs through provision of a standard 8 stance sanitation facility and water storage facilities that will as well facilitate the practice of hand washing at 10 ICPs.,2018-11-10,2019-09-19,5,"0.00",3,"0",69,69,2021-10-15,2021-10-15 11:06:20,21202,783
104,PRCT-51102,IFP250 - Disaster/shelter intervention for 12 families,IFP250,Disaster/shelter intervention for 12 families,2020-03-01,2021-05-31,5,"0.00",3,"0",69,69,2021-10-15,2021-10-15 11:12:29,21202,783
105,PRCT-11184,IFP252 - 12 shelters for disaster- affected beneficiaries,IFP252,12 shelters for disaster- affected beneficiaries,2020-03-01,2021-10-31,5,"0.00",3,"0",69,69,2021-10-15,2021-10-15 11:16:43,21202,783
106,PRCT-2161934,P4008 - HVC-CPR-CDI (Highly Vulnerable Children- (Proposal Based),P4008,P4008 - HVC-CPR-CDI (Highly Vulnerable Children- (Proposal Based),2021-03-01,"0000-00-00",5,"0.00",3,"0",66,66,2021-03-09,"0000-00-00 00:00:00",21202,783
107,PRCT-45781234,P4010 - Major Medical- (Proposal Based),P4010,P4010 - Major Medical- (Proposal Based),2021-03-01,"0000-00-00",5,"0.00",3,"0",66,66,2021-03-09,"0000-00-00 00:00:00",21202,783
108,PRCT-45781230,P4012 - Infrastructure (IFP),P4012,P4012 - Infrastructure (IFP),2021-03-01,2040-12-31,5,"0.00",3,"0",66,66,2021-03-09,"0000-00-00 00:00:00",21202,783
109,PRCT-45781240,"P4013 - CFT, Church Planting (CFT)",P4013,"P4013 - CFT, Church Planting (CFT)",2021-03-01,"0000-00-00",5,"0.00",3,"0",66,66,2021-03-09,"0000-00-00 00:00:00",21202,783
110,PRCT-779094,P4019-Survival Launch Funds,P4019,P4019-Survival Launch Funds,2017-03-31,2050-12-31,5,"0.00",3,"0",69,69,2021-10-15,2021-10-15 11:01:22,21202,783
111,PRCT-54995,IGP-166 Heifer Rearing for Milk Production,IGP166, Heifer Rearing for Milk Production,2019-08-01,2022-02-28,5,"8000.00",3,"0",67,67,2021-10-19,2021-10-19 05:01:40,21202,783
112,PRCT-24236,"WTP 234 Improved Toilets at Itilima, Bariadi and Maswa Clusters.",WTP 234 ,"This intervention intends to accomplish 56 units of toilets and construct new 64 new units of latrines for 12 FCPs in Itilima, Bariadi and Maswa clusters. It will enable practical training for children on good hygiene practices and protect from diseases.",2020-01-01,"0000-00-00",2,"0.00",2,"0",24,24,2021-10-20,2021-10-20 09:02:35,364,296
113,PRCT-76794,Church Enhancement At Anglican Jema - Loliondo Area,"009",This intervention intends to support Anglican Magugu plant a new church at Jema because the community in which the church is located has a lot of needy children but there is no the right Church to partner with Compassion for Holistic Child Development.,2020-08-01,2021-03-20,2,"116500000.00",2,"0",225,225,2021-10-22,2021-10-22 06:54:59,364,296
114,PRCT-19171,"Water, Sanitation and Hygiene (WASH) Baseline Survey",178,"Proposal for WaSH willhelp us get a pattern of WaSH Interventions in our country. A sample of 183 ICPs will be used and we are requesting a total of 29,000 USD for this activity to begin in Jnauary 2017",2017-03-20,2022-02-04,2,"41996600.00",2,"0",225,225,2021-10-22,2021-10-22 07:22:46,364,296
115,PRCT-58068,P98-Local Sponsorship Funds,P98,P98-Local Sponsorship Fund,2020-01-01,"0000-00-00",2,"0.00",2,"0",100,100,2021-10-22,2021-10-22 08:05:16,364,296
116,PRCT-6227,Church Enhancement At Anglican Jema - Loliondo Area,"009",This intervention intends to support Anglican Magugu plant a new church at Jema because the community in which the church is located has a lot of needy children but there is no the right Church to partner with Compassion for Holistic Child Development.,2020-08-01,2021-12-31,2,"0.00",2,"0",30,30,2021-10-24,2021-10-24 16:46:17,364,296
117,PRCT-75742,Beekeeping IGA for 235 caregivers of four FCPs,IGP166 BEE,Beekeeping IGA for 235 caregivers of four FCPs,2021-08-01,2025-12-31,2,"0.00",2,"0",31,31,2021-10-27,2021-10-27 07:33:59,364,296
118,PRCT-23437,Economic empowerment to 309 caregivers at Olmotony,158,This intervention aims to empower 309 Caregivers at Olmotonyi Cluster with capital and business skills to improve their small businesses and finally increase their income,2020-07-01,2021-10-31,2,"0.00",2,"0",30,30,2021-10-27,2021-10-27 11:12:02,364,296
119,PRCT-73499,Green house farming for 27 caregivers at TZ0275,164,The intervention aims at improving economic income for 27 caregivers at ELCT QURUS student center through horticulture which entails growing vegetables through drip irrigation.,2020-05-11,2021-05-28,2,"66161800.00",2,"0",225,225,2021-10-27,2021-10-27 11:40:59,364,296
120,PRCT-48666,IGA for caregiver economic development for Monduli and Gongale,IGAmonduli,IGA for caregiver economic development for Monduli and Gongale,2021-07-01,2025-12-31,2,"0.00",2,"0",31,31,2021-10-27,2021-10-27 11:45:08,364,296
122,PRCT-40680,Shelter for 20 beneficiaries of TZ0103,167,The intervention seeks to construct houses for beneficiaries who live in extremely poor house at TZ0103. New and improved shelter will enhance the quality of their lives and ensure their physical and psychological well being.,2021-04-01,2023-01-31,2,"0.00",2,"0",30,30,2021-10-28,2021-10-28 07:59:35,364,296
123,PRCT-64102,Ongoing Disaster Response,DAP,Disaster response,2021-09-01,"0000-00-00",2,"0.00",2,"0",30,30,2021-10-28,2021-10-28 12:52:51,364,296
124,PRCT-25891,"Improved Toilets at Itilima, Bariadi and Maswa Clusters.",WTP 234 ,"WTP 234 Improved Toilets at Itilima, Bariadi and Maswa Clusters.",2020-01-01,"0000-00-00",2,"0.00",2,"0",24,24,2021-10-29,2021-10-29 08:25:01,364,296
125,PRCT-54936,Economic empowerment to Youths and caregivers at TZ0451,152,To provide skills on making fuel saving cookers to 30 youths and capital for 50 caregivers for income generating activities.,2020-07-01,2021-10-31,2,"0.00",2,"0",30,30,2021-10-29,2021-10-29 10:23:47,364,296
126,PRCT-3269,Uganda leadership development initiative Cohort 2,EDU21,Uganda leadership development initiative Cohort 2,2019-02-01,2024-01-31,5,"445548300.00",3,"0",69,69,2021-10-29,2021-10-29 11:28:21,21202,783
